Enrique Francini ; Roberto Rufino,Enrique Francini,Roberto Rufino
Bachicha ; Alberto Larena,Bachicha,Alberto Larena
José García ; Alfredo Rojas,José García,Alfredo Rojas
Unknown ; Rico Bardi,,
"Edgardo Donato ; Romeo Gavioli, Lita Morales, Horacio Lagos",Edgardo Donato,"Horacio Lagos, Lita Morales, Romeo Gavioli"
Auguste Jean Pesenti ; Giliberu,A. J. Pesenti,
Emilio Pellejero ; Carlos Roldan,Emilio Pellejero,Carlos Roldán
"Eduardo Bianco, Bachicha ; Hector Pettorossi","Eduardo Bianco, Bachicha",Horacio Pettorossi
Filipotto-Ariotto ; Unknown,,-unspecified male-
Miguel Calo ; Alberto Morel,Miguel Caló,Alberto Morel
"Roberto Firpo, Roberto Firpo (Hijo) ; Instrumental",,-
"Rafael Canaro ; Carlos Dante, Rafael Canaro",Rafael Canaro,"Carlos Dante, Rafael Canaro"
Osváldo Pugliese ; Roberto Chanel,Osvaldo Pugliese,Roberto Chanel
Carlos Marambio ; Juan Cruz Mateo,Juan Carlos Marambio Catán,-unspecified male-
Francisco Canaro ; Eduardo Adrián,Francisco Canaro,Eduardo Adrián
Miguel Calo ; Carlos Dante,Miguel Caló,Carlos Dante
Ultratango ; Instrumental,,-
"Alfredo Gobbi ; Tito Lando, Alfredo Del Rio",Alfredo J. Gobbi,"Alfredo del Río, Tito Landó"
"Eduardo Bianco, Bachicha ; Bachicha, Mario Melfi","Eduardo Bianco, Bachicha",
Unknown ; Rosita Montemar,,Rosita Montemar
Francisco Rotundo ; Maria De La Fuente,Francisco Rotundo,Maria De La Fuente
Francisco Lauro ; Instrumental,Domingo Federico,
