Ruda Neruda,Goran Bregovic,1994,Soundtrack,La Reine Margot,6,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/La Reine Margot/06 - Ruda Neruda.mp3
U Te Sam Se Zaljubia,Goran Bregovic,1994,Soundtrack,La Reine Margot,7,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/La Reine Margot/07 - U Te Sam Se Zaljubia.mp3
La Chasse,Goran Bregovic,1994,Soundtrack,La Reine Margot,8,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/La Reine Margot/08 - La Chasse.mp3
Margot,Goran Bregovic,1994,Soundtrack,La Reine Margot,9,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/La Reine Margot/09 - Margot.mp3
Rencontre,Goran Bregovic,1994,Soundtrack,La Reine Margot,10,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/La Reine Margot/10 - Rencontre.mp3
Marguerite De Valois Et Henri De Navarre,Goran Bregovic,1994,Soundtrack,La Reine Margot,11,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/La Reine Margot/11 - Marguerite De Valois Et Henri De Navarre.mp3
Le Mariage,Goran Bregovic,1994,Soundtrack,La Reine Margot,12,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/La Reine Margot/12 - Le Mariage.mp3
La Nuit,Goran Bregovic,1994,Soundtrack,La Reine Margot,13,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/La Reine Margot/13 - La Nuit.mp3
Elo Hi (Canto Nero),Goran Bregovic,1994,Soundtrack,La Reine Margot,14,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/La Reine Margot/14 - Elo Hi.mp3
Ederlezi,Goran Bregovic,1989,World,Le Temps Des Gitans,01,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Le Temps Des Gitans/01 - Ederlezi.mp3
Scena Pojavljivanja Majke,Goran Bregovic,1989,World,Le Temps Des Gitans,02,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Le Temps Des Gitans/02 - Scena Pojavljivanja Majke.mp3
Scena Perhanove Pogibije,Goran Bregovic,1989,World,Le Temps Des Gitans,03,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Le Temps Des Gitans/03 - Scena Perhanove Pogibije.mp3
Kustino Oro,Goran Bregovic,1989,World,Le Temps Des Gitans,04,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Le Temps Des Gitans/04 - Kustino Oro.mp3
Borino Oro,Goran Bregovic,1989,World,Le Temps Des Gitans,05,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Le Temps Des Gitans/05 - Borino Oro.mp3
Glavna Tema,Goran Bregovic,1989,World,Le Temps Des Gitans,06,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Le Temps Des Gitans/06 - Glavna Tema.mp3
Tango,Goran Bregovic,1989,World,Le Temps Des Gitans,07,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Le Temps Des Gitans/07 - Tango.mp3
Pjesma,Goran Bregovic,1989,World,Le Temps Des Gitans,08,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Le Temps Des Gitans/08 - Pjesma.mp3
Talijanska,Goran Bregovic,1989,World,Le Temps Des Gitans,09,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Le Temps Des Gitans/09 - Talijanska.mp3
Ederlezi,Goran Bregovic,1989,World,Le Temps Des Gitans,10,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Le Temps Des Gitans/10 - Ederlezi.mp3
Silence 1,Goran Bregovic,1998,World,Silence Of The Balkans,01,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Silence of the Balkans/01 - Silence 1.mp3
Delicious Solitude,Goran Bregovic,1998,World,Silence Of The Balkans,02,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Silence of the Balkans/02 - Delicious Solitude.mp3
Train,Goran Bregovic,1998,World,Silence Of The Balkans,03,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Silence of the Balkans/03 - Train.mp3
