Milonga,"Aníbal Troilo, voc. Alberto Marino",Con permiso!,1944
Tango,Ángel D'Agostino,Con sabor a tango,1946
Milonga,"Aníbal Troilo, voc. Francisco Fiorentino",Con toda la voz que tengo,1941
Tango,"Osvaldo Pugliese, voc. Roberto Chanel",Consejo de oro,1946
Tango,"Francisco Canaro, voc. Francisco Amor",Copa de ajenjo,1941
Tango,"Francisco Canaro, voc. Félix Gutiérrez",Copa de amargura,1932
Tango,Julio De Caro,Copacabana / Nido de amor,1927
Tango,"Aníbal Troilo, voc. Alberto Marino","Copas, amigas y besos",1944
Tango,"Rodolfo Biagi, voc. Jorge Ortiz","Copas, amigas y besos",1945
Tango,"Francisco Canaro, voc. Agustín Irusta","Copetín, vos sos mi hermano",1927
Tango,"Carlos Di Sarli, voc. Roberto Rufino",Corazón,1939
Vals,Juan D'Arienzo,Corazón de artista,1936
Tango,"Miguel Caló, voc. Roberto Arrieta",Corazón de papel,1948
Tango,"Aníbal Troilo, voc. Floreal Ruiz",Corazón de papel,1947
Tango,"Domingo Federico, voc. Armando Moreno",Corazón encadenado,1955
Tango,"Miguel Caló, voc. Raúl Berón",Corazón no le hagas caso,1942
Tango,"Miguel Caló, voc. Roberto Arrieta","Corazón, si la viera",1945
Tango,"Aníbal Troilo, voc. Francisco Fiorentino",Corazón... no le hagas caso,1943
Tango,"Ricardo Tanturi, voc. Roberto Videla",Corazoncito,1945
Tango,Aníbal Troilo,Cordón de oro,1941
Tango,"Carlos Di Sarli, voc. Roberto Rufino",Cornetín,1943
Milonga,Quinteto Pirincho,Corralera,9-09
Milonga,Quinteto Pirincho,Corralera,9-09
Tango,"Osvaldo Pugliese, voc. Roberto Chanel",Corrientes y Esmeralda,1944
Milonga,"Juan D'Arienzo, voc. Héctor Mauré",Cortada de San Ignacio,1942
Milonga,"Juan D'Arienzo, voc. Héctor Mauré",Cortada de San Ignacio,1942
Vals,"Carlos Di Sarli, voc. Roberto Rufino",Cortando camino,1941
Tango,"Miguel Caló, voc. Raúl Iriarte",Cosas de tango,1945
Tango,"Domingo Federico, voc. Oscar Larroca y Carlos Vidal",Cosas del amor,1948
Tango,"Carlos Di Sarli, voc. Roberto Rufino",Cosas olvidadas,1940
Tango,"Aníbal Troilo, voc. Alberto Marino",Cotorrita de la suerte,1945
Tango,"Francisco Canaro, voc. Ernesto Famá",Créase o no,1932
Tango,Cayetano Puglisi,Criolla linda,1929
Tango,"Aníbal Troilo, voc. Alberto Marino",Cristal,1944
Tango,"Domingo Federico, voc. Enzo Valentino",Cualquier cosa,1951
Tango,Carlos Di Sarli,Cuando bronca el temporal,1929
Tango,"Carlos Di Sarli, voc. Carlos Acuña",Cuando el amor muere,1941
Vals,"Ricardo Malerba, voc. Orlando Medina",Cuando florezcan las rosas,1943
Tango,"Ricardo Tanturi, voc. Osvaldo Ribó",Cuando llora la milonga,1950
Tango,Francisco Lomuto,Cuando llora la milonga,1941
Tango,"Rodolfo Biagi, voc. Alberto Amor",Cuando llora la milonga,1946
Tango,"Carlos Di Sarli, voc. Jorge Durán",Cuando muere una esperanza,1956
Tango,"Ángel D'Agostino, voc. Ángel Vargas",Cuando se ha querido mucho,1945
Tango,"Rodolfo Biagi, voc. Jorge Ortiz",Cuando se ha querido mucho,1945
Tango,"Aníbal Troilo, voc. Alberto Marino",Cuando tallan los recuerdos,1943
Tango,"Miguel Caló, voc. Raúl Iriarte",Cuando tallan los recuerdos,1943
Milonga,"Carlos Di Sarli, voc. Roberto Rufino",Cuando un viejo se enamora,1942
Tango,"Francisco Canaro, voc. Ernesto Famá",Cuando vuelva,1932
Tango,"Francisco Canaro, voc. Francisco Amor",Cuartito azul,1939
Tango,"Francisco Canaro, voc. Francisco Amor",Cuartito azul,1939
Tango,"Ricardo Tanturi, voc. Alberto Castillo",Cuatro compases,1942
Tango,"Miguel Caló, voc. Raúl Berón",Cuatro compases,1942
Tango,"Rodolfo Biagi, voc. Alberto Amor",Cuatro lágrimas,1946
Tango,"Ricardo Tanturi, voc. Enrique Campos",Cuatro lágrimas,1945
Vals,"Juan D'Arienzo, voc. Héctor Mauré",Cuatro palabras,1941
Vals,"Rodolfo Biagi, voc. Jorge Ortiz",Cuatro palabras,1941
Tango,"Ricardo Tanturi, voc. Enrique Campos",Cuatro recuerdos,1945
Tango,", voc. Oscar Serpa",Cuatro vidas,
Tango,"Miguel Caló, voc. Raúl Iriarte",Cuento azul,1943
Tango,"Francisco Canaro, voc. Carlos Galán",Cuesta abajo,1934
Tango,"Francisco Canaro, voc. Argentino Ledesma",Cuesta abajo,1969
