A media luz,T0370001038,tango,Donato Racciatti,,,02:47
A media luz,T0370001038,tango,Donato Racciatti,,1959-03-23,02:47
A media luz,T0370001038,tango,Donato Racciatti,Nina Miranda,,02:42
A media luz,T0370001038,tango,Donato Racciatti,Olga Delgrossi,,02:40
A media luz,T0370001038,tango,,-,,01:24
A media luz,T0370001038,tango,Edgardo Donato,Carlos Almada,1950-07-07,03:21
A media luz,T0370001038,tango,Edgardo Donato,Horacio Lagos,1941-10-13,02:36
A media luz,T0370001038,tango,"Eduardo Bianco, Bachicha",César Alberú,1927-11-03,02:41
A media luz,T0370001038,tango,Emilio Brameri,Mercedes Simone,,02:54
A media luz,T0370001038,tango,Emilio Brameri,Mercedes Simone,1966,02:58
A media luz,T0370001038,tango,Enrique Rodríguez,Armando Moreno,1940-11-20,02:11
A media luz,T0370001038,tango,Ernesto Franco,,,02:32
A media luz,T0370001038,tango,Ernesto Franco,-,,02:33
A media luz,T0370001038,tango,Florindo Sassone,Andrés Peyró,1959-10-15,02:13
A media luz,T0370001038,tango,Florindo Sassone,-,1968-05-16,02:33
A media luz,T0370001038,tango,Francisco Canaro,Alberto Arenas,1951-11-29,03:14
A media luz,T0370001038,tango,Francisco Canaro,-,1926-11-08,03:06
A media luz,T0370001038,tango,Francisco Canaro,-,1926-11-15,03:06
A media luz,T0370001038,tango,Fulvio Salamanca,-,,02:40
A media luz,T0370001038,tango,,-,,02:38
A media luz,T0370001038,electro,,,,05:22
A media luz,T0370001038,tango,Hugo Díaz,,,02:30
A media luz,T0370001038,tango,Aníbal Troilo,Elba Berón,,
A media luz,T0370001038,tango,Giora Feidman,-,,03:24
A media luz,T0370001038,tango,,-,1960,02:47
A media luz,T0370001038,tango,"Guillermo Barbieri, José Ricardo",Carlos Gardel,1926,02:58
A media luz,T0370001038,?,,,,03:21
A media luz,T0370001038,tango,José Bohr,,1927-01,03:23
A media luz,T0370001038,tango,José Libertella,,,
A media luz,T0370001038,tango,José Basso,Francisco Fiorentino,1949-09-16,03:06
A media luz,T0370001038,tango,José Lucchesi,,,
A media luz,T0370001038,tango,Juan D'Arienzo,-,1963-12-17,03:00
A media luz,T0370001038,tango,Juanjo Domínguez,,,03:00
A media luz,T0370001038,tango,,,,02:36
A media luz,T0370001038,tango,Manuel Pizarro,,,02:36
A media luz,T0370001038,tango,Manuel Pizarro,,1927,02:35
A media luz,T0370001038,tango,Manuel Romeo,-unspecified male-,1927,03:04
A media luz,T0370001038,tango,Marek Weber,-,1927-06-01,02:55
A media luz,T0370001038,tango,Miguel Caló,Lucho Gatica,1965,02:16
A media luz,T0370001038,tango,Miguel Caló,Raúl Del Mar,1965,02:13
A media luz,T0370001038,tango,Miguel Caló,-,1964-04-24,03:16
A media luz,T0370001038,tango,,,,
A media luz,T0370001038,tango,Jorge Dragone,Alberto Castillo,1953-03-05,01:57
A media luz,T0370001038,tango,,Hugo del Carril,,02:05
A media luz,T0370001038,tango,Raúl Miguel Garello,,,02:24
A media luz,T0370001038,tango,Raúl Miguel Garello,,1977-04-20,02:24
A media luz,T0370001038,tango,Raúl Miguel Garello,-,,02:20
A media luz,T0370001038,tango,Roberto Firpo,"Carlos A. Varela, -choir-",1934-10-19,02:53
A media luz,T0370001038,tango,Roberto Firpo,-,1926,
A media luz,T0370001038,tango,Roberto Firpo,-,1927-05-19,02:57
A media luz,T0370001038,tango,,,,03:48
A media luz,T0370001038,tango,Héctor Varela,Rodolfo Lesica,1955-11-01,03:26
A media luz,T0370001038,tango,Héctor Varela,-,1968-05-02,02:43
A media luz,T0370001038,tango,,-,,03:43
A media luz,T0370001038,tango,,-,1982,02:11
A media luz,T0370001038,tango,,,,02:10
A media luz,T0370001038,tango,QuinTango,-,1998,02:37
A media luz,T0370001038,tango,Quinteto Real,-,,01:48
A media luz,T0370001038,tango,Sexteto Mayor,-unspecified female-,,02:08
A media luz,T0370001038,tango,Sexteto Mayor,-,,03:01
A media luz,T0370001038,tango,Sexteto Tango,,,03:42
A media luz,T0370001038,tango,Orquesta Cuerdas Latinas,-,,02:37
A media luz,T0370001038,tango,Orquesta del Tango de Buenos Aires,,,
A media luz,T0370001038,tango,Orquesta El Arranque,-,,03:16
A media luz,T0370001038,tango,Los Solistas de D'Arienzo,Walter Gutiérrez,,02:03
A media luz,T0370001038,tango,Orquesta Matos Rodríguez,,2005,02:43
A media luz,T0370001038,tango,Puro Apronte,-,,02:27
A media luz,T0370001038,tango,Quartango,,,04:08
A media luz,T0370001038,tango,Orquesta Típica Tokio,Ranko Fujisawa,1952,03:21
A media luz,T0370001038,tango,-unspecified guitars-,Hugo del Carril,1946,02:14
A media luz,T0370001038,tango,-unspecified guitars-,Hugo del Carril,1946-10-25,02:15
A media luz,T0370001038,tango,-unspecified guitars-,Rosita Quiroga,1927-02-05,02:52
A media luz,T0370001038,tango,-unspecified orchestra-,Monica Lander,,
A media luz,T0370001038,tango,-unspecified orchestra-,Mercedes Simone,,
A media luz,T0370001038,tango,-unspecified orchestra-,,1937-12-21,02:16
A media luz,T0370001038,tango,,,,02:50
A Media Luz (Guardando Intorno A Te),,?,,,,02:36
A media noche,T0370110738,tango,"Guillermo Barbieri, José Ricardo",Carlos Gardel,,
A media noche,T0370110738,tango,"Guillermo Barbieri, José Ricardo",Carlos Gardel,1926,
A media noche,T0370110738,tango,Juan Félix Maglio,Carlos Viván,1929-11-08,03:57
A Mercedes,T0370212513,vals,Juan D'Arienzo,Héctor Mauré,1943-12-27,02:29
A mi china,Z0999901984,estilo provinciano,-unspecified guitars-,Ignacio Corsini,,
A mí dejáme en mi barrio,T0370186632,tango,Pedro Laurenz,Juan Carlos Casas,1942-10-20,03:10
A mí dejáme en mi barrio,T0370186632,tango,-unspecified guitars-,Edmundo Rivero,1951-08-08,02:44
